Nombre;Tipo identificación;Número de identificación;Dirección;Contacto principal;Teléfono Principal;Teléfono 2;Correo Electrónico Institucional;Correo electrónico 2;Página web;Clasificación;Lider IVC;Profesional SFI;Secretario;Sector;Propiedad;Descripción;Observaciones;Indicativo;Departamento;COD_DTO;Municipio;COD_MUNICIPIO;Teléfono Celular;cod.secretarías ETDH;cod.secretarías EPBM;Código IES Padre;Código SIC;Código IES;Carácter Académico;Ente emite norma creación;Acto Admin Norma de Creación;Acreditada Alta Calidad;Vigencia de la Acreditación;Número Norma de Creación;Tipo cubrimiento;Fecha Acreditación;Naturaleza Jurídica;Misión;Fecha Norma de Creación;Programas Vigentes;Resolución de Acreditación
Secretaría de Educación de Bogotá D.C.;Nit;899999061;Avenida Eldorado No. 66 - 63 Piso 4;ISABEL SEGOVIA OSPINA;3212415101;6013241000;ldiazv@educacionbogota.gov.co;mvillalba@educacionbogota.gov.co;https://www.educacionbogota.edu.co/;Entidad Territorial Certificada;LIDA DÍAZ VELANDIA;Jenifer Jaine Vergara Garces;ISABEL SEGOVIA OSPINA;Oficial;Pública;;;601;Bogotá D.C.;11;Bogotá;11001;3212415101;3766;68;;;;;;;;;;;;;;;;
Secretaría de Educación de Bolívar;Nit;890480059;Carretera Cartagena - Turbaco Km 3 Sector El Cortijo;VERÓNICA MONTERROSA TORRES ;3012693484;6056517444;vdelacruz@bolivar.gov.co;inspeccionyvigilancia@sedbolivar.gov.co;https://www.sedbolivar.gov.co;Entidad Territorial Certificada;VANESSA DE LA CRUZ POLO;Loida Ruth Silva Morales;VERÓNICA MONTERROSA TORRES ;Oficial;Pública;;;605;Bolívar;13;Cartagena;13001;3012693484;3767;72;;;;;;;;;;;;;;;;
Secretaría de Educación de Boyacá;Nit;891800498;Carrera 10 No. 18 - 68;EDDYE YARIK REYES GRISALES;3123934958;6087420200;Inspeccionyvigilacia@sedboyaca.gov.co;julian.solano456@hotmail.com;https://www.sedboyaca.gov.co;Entidad Territorial Certificada;JULIÁN ANDRÉS SOLANO SIERRA ;Hector Julio Flechas Pacheco;EDDYE YARIK REYES GRISALES;Oficial;Pública;;;608;Boyacá;15;Tunja;15001;3123934958;3769;80;;;;;;;;;;;;;;;;
Secretaría de Educación de Bucaramanga;Nit;890201222;Carrera 11 No. 34 - 52 piso 3 Fase II Alcaldía de Bucaramanga;MARTHA CECILIA GUARÍN LIZCANO;3112576084;6076337000;ljtobon@bucaramanga.gov.co;inspeccion.vigilancia@bucaramanga.edu.co;https://www.seb.gov.co ;Entidad Territorial Certificada;LÁZARO JAIME ANDRÉS TOBÓN VALLEJO;Marco Tulio Marquez Rozo;MARTHA CECILIA GUARÍN LIZCANO;Oficial;Pública;;;607;Santander;68;Bucaramanga;68001;3112576084;3809;168;;;;;;;;;;;;;;;;
Secretaría de Educación de Buenaventura;Nit;890399045;Carrera 3 calle 2 Edificio Administrativo Distrital  CAD Piso 6;JOAQUÍN OROBIO BASTIDAS;3165238000;6022405400;Buenaventurainspeccionyvigilan@gmail.com;Victormquintana@hotmail.com;https://www.sembuenaventura.gov.co/;Entidad Territorial Certificada;VICTOR MANUEL QUINTANA MARTINEZ;Loida Ruth Silva Morales;JOAQUÍN OROBIO BASTIDAS;Oficial;Pública;;;602;Valle del Cauca;76;Buenaventura;76109;3165238000;3819;184;;;;;;;;;;;;;;;;
Secretaría de Educación de Caldas;Nit;890801052;Edificio Licorera- Plaza de Bolívar ;LUIS HERNEY VARGAS BARRERA ;3113402468;6068982444;vcatano@caldas.gov.co;vcatano@sedcaldas.edu.co;https://www.sedcaldas.gov.co;Entidad Territorial Certificada;VALENTINA CATAÑO OSORIO;Loida Ruth Silva Morales;LUIS HERNEY VARGAS BARRERA ;Oficial;Pública;;;606;Caldas;17;Manizales;17001;3113402468;3773;84;;;;;;;;;;;;;;;;
Secretaría de Educación de Cali;Nit;890399011;Avenida 6N # 13N - 50;SARA MERCEDES RODAS SOTO;3183850458;6026441200;diana.pardo@cali.edu.co;correspondencia.inspeccion@cali.edu.co;https://www.cali.gov.co/;Entidad Territorial Certificada;DIANA CAROLINA PARDO ZAPATA ;Jenifer Jaine Vergara Garces;SARA MERCEDES RODAS SOTO;Oficial;Pública;;;602;Valle del Cauca;76;Cali;76001;3183850458;3818;188;;;;;;;;;;;;;;;;
Secretaría de Educación de Caquetá;Nit;800091594;Calle 15  No. 10 - 15;JACKELINE ORTIZ CABRERA;3214284119;6084366860;inspeccionyvigilancia@caqueta.gov.co;despachoeducacion@caqueta.gov.co;https://www.sedcaqueta.gov.co/;Entidad Territorial Certificada;YAMILE MENDOZA CASANOVA ;Loida Ruth Silva Morales;JACKELINE ORTIZ CABRERA;Oficial;Pública;;;608;Caquetá;18;Florencia;18001;3214284119;3775;88;;;;;;;;;;;;;;;;
Secretaría de Educación de Cartagena de Indias;Nit;890480184;Centro, Plazoleta Benkos Biohó, Carrera 10A No. 35-73, Edificio Mariscal;ALBERTO ENRIQUE MARTÍNEZ MONTERROSA;3152250522;605 6411370 ext. 1673-1675;ocaraballo@sedcartagena.gov.co;ovicar2603@gmail.com;https://www.sedcartagena.gov.co;Entidad Territorial Certificada;OVIRIS ANEIDA CARABALLO SALGADO;Hector Julio Flechas Pacheco;ALBERTO ENRIQUE MARTÍNEZ MONTERROSA;Oficial;Pública;;;605;Bolívar;13;Cartagena;13001;3152250522;4910;90;;;;;;;;;;;;;;;;
Secretaría de Educación de Cartago;Nit;891900493;Carrera 2 Nº 12 – 50;GIANCARLO UPEGUI RIVAS ;3113641010;6022112324;jpelaez@semcartago.gov.co;adrianpelaez4280@gmail.com;https://www.cartago.gov.co/;Entidad Territorial Certificada;JESÚS ADRIÁN PELAEZ MARIN;Hector Julio Flechas Pacheco;GIANCARLO UPEGUI RIVAS ;Oficial;Pública;;;602;Valle del Cauca;76;Cartago;76147;3113641010;3821;190;;;;;;;;;;;;;;;;
Secretaría de Educación de Casanare;Nit;892099216;Carrera 20 No. 8 - 02  Edificio CAD, Piso 2;DIEGO FERNANDO ARDILA PLAZAS;3144922423;6086336339;inspeccionyvigilancia@sedcasanare.gov.co;marialan31@yahoo.com;https://www.sedcasanare.gov.co/;Entidad Territorial Certificada;MARLEN ROCÍO  ALFONSO ÁNGEL ;Marco Tulio Marquez Rozo;DIEGO FERNANDO ARDILA PLAZAS;Oficial;Pública;;;608;Casanare;85;Yopal;85001;3144922423;3825;92;;;;;;;;;;;;;;;;
Secretaría de Educación de Cauca;Nit;891580016;Carrera 6 Nº 3 - 82 Edificio Gobernación;SOR INÉS LARRAHONDO CARABALÍ;3215469737;6028244201;Inspeccionyvigilancia@cauca.gov.co ;alix.bermudez@cauca.gov.co ;https://www.sedcauca.gov.co;Entidad Territorial Certificada;ALIX EUGENIA BERMUDEZ BENAVIDES;Loida Ruth Silva Morales;SOR INÉS LARRAHONDO CARABALÍ;Oficial;Pública;;;602;Cauca;19;Popayán;19001;3215469737;3777;96;;;;;;;;;;;;;;;;
Secretaría de Educación de Cesar;Nit;892399999;Calle 16 No. 12-120 Edificio Alfonso López Michelsen;YASMÍN ROCIO GARCIA MENESES;3152625280;6055748230;albaamara@educacioncesar.gov.co;alba.marina53@hotmail.com;https://www.educacion.cesar.gov.co;Entidad Territorial Certificada;ALBA MARINA AMARA DE LIMA ;Jenifer Jaine Vergara Garces;YASMÍN ROCIO GARCIA MENESES;Oficial;Pública;;;605;Cesar;20;Valledupar;20001;3152625280;3779;100;;;;;;;;;;;;;;;;
Secretaría de Educación de Chía;Nit;899999172;Carrera 10 No. 8-80;NELSY YAZMIN CAJAMARCA SUÁREZ;3134409156;6018844444;Nelly.martinez@chia.gov.co;nellya.martinez@gmail.com;https://seceducacion.chia-cundinamarca.gov.co/;Entidad Territorial Certificada;NELLY MARTINEZ CASTRO ;Marco Tulio Marquez Rozo;NELSY YAZMIN CAJAMARCA SUÁREZ;Oficial;Pública;;;601;Cundinamarca;25;Chía;25175;3134409156;10904;256;;;;;;;;;;;;;;;;
Secretaría de Educación de Chocó;Nit;891680010;Calle 30 N°8-08;YINA PAOLA REALES MORENO;3116208805;6046718110;kristian.lemos@sedchoco.gov.co;kristhar2@gmail.com;https://www.choco.gov.co/;Entidad Territorial Certificada;KRISTIAN HARRY LEMOS MORENO;Loida Ruth Silva Morales;YINA PAOLA REALES MORENO;Oficial;Pública;;;604;Choco;27;Quibdó;27001;3116208805;3789;102;;;;;;;;;;;;;;;;
Secretaría de Educación de Ciénaga;Nit;891780043;Calle 12 Nº 11-32 Piso 2;DIANA BRITTO ORDOÑEZ ;3016243974;6054105539;gmuniz@semcienaga.gov.co;grace0786@gmail.com;https://www.sem-cienaga.gov.co/;Entidad Territorial Certificada;GRACE LINNET MUÑOZ MONTENEGRO ;Hector Humberto Hernandez;DIANA BRITTO ORDOÑEZ ;Oficial;Pública;;;605;Magdalena;47;Ciénaga;47189;3016243974;3795;132;;;;;;;;;;;;;;;;
Secretaría de Educación de Córdoba;Nit;800103935;Calle 27 No 3 - 28 Piso 5;JENNYS YECENIA YANCES PADILLA;3104430595;6047848940;hugo.tellez@sedcordoba.gov.co;hugo.tellez@cordoba.gov.co;https://www.cordoba.gov.co/educacion/;Entidad Territorial Certificada;HUGO TÉLLEZ POVEDA ;Hector Humberto Hernandez;JENNYS YECENIA YANCES PADILLA;Oficial;Pública;;;604;Córdoba;23;Monteria;23001;3104430595;3781;110;;;;;;;;;;;;;;;;
Secretaría de Educación de Cúcuta;Nit;890501434;Calle 10 No. 0E – 16 Edif. Centro Empresarial - Bloque B Hotel Tonchalá;CÉSAR RICARDO ROJAS RAMÍREZ;3152100173;6075960140;inspeccion.vigilancia@semcucuta.gov.co;ptrujillo@semcucuta.gov.co;https://www.semcucuta.gov.co/;Entidad Territorial Certificada;MARIA DEL PILAR TRUJILLO SUAREZ;Jenifer Jaine Vergara Garces;CÉSAR RICARDO ROJAS RAMÍREZ;Oficial;Pública;;;607;Norte de Santander;54;Cúcuta;54001;3152100173;3802;146;;;;;;;;;;;;;;;;
Secretaría de Educación de Cundinamarca;Nit;899999114;Calle 26 No 51-53;GENNY MILENA PADILLA REINOSO;3205208848;6017490000;elcy.castillo@cundinamarca.gov.co;elcy.castillo@cundinamarca.gov.co;https://www.cundinamarca.gov.co/;Entidad Territorial Certificada;ELCY CASTILLO RÍOS;Marco Tulio Marquez Rozo;GENNY MILENA PADILLA REINOSO;Oficial;Pública;;;601;Cundinamarca;25;Bogotá;11001;3205208848;3785;118;;;;;;;;;;;;;;;;
Secretaría de Educación de Dosquebradas;Nit;800099310;Av. Simón Bolívar Nro 36-44 Centro Administrativo Municipal CAM Dosquebradas;FERNANDO CABALLERO SÁNCHEZ;3162904948;6063116566;educacion.inspeccionyvigilancia@dosquebradas.gov.co;inspeccionyvigilanciadqs@gmail.com;https://educacion.dosquebradas.gov.co/;Entidad Territorial Certificada;DALIX ARACELY OBANDO SARCHI;Hector Julio Flechas Pacheco;FERNANDO CABALLERO SÁNCHEZ;Oficial;Pública;;;606;Risaralda;66;Dosquebradas;66170;3162904948;3807;156;;;;;;;;;;;;;;;;
Secretaría de Educación de Duitama;Nit;891855138;Carrera 15 Numero 15-15 , piso 6, Edificio Administrativo;MARINELLA CAMARGO BUITRAGO ;3138714433;6087626230;Leidy.gaitan@semduitama.gov.co;Inspeccionyvigilancia@semduitama.gov.co;https://semduitama.gov.co/;Entidad Territorial Certificada;LEIDY RAQUEL GAITÁN ÁNGEL ;Hector Julio Flechas Pacheco;MARINELLA CAMARGO BUITRAGO ;Oficial;Pública;;;608;Boyacá;15;Duitama;15238;3138714433;3771;74;;;;;;;;;;;;;;;;
Secretaría de Educación de Envigado;Nit;890907106;Calle 38 Sur No. 45 A – 87, Palacio Municipal JOMAR, piso 5;JAZMIN ANDREA GONZALEZ ARIAS;3216391564;6043394000;alejandra.ochoa@envigado.gov.co;alejamoh@hotmail.com;https://www.envigado.edu.co/;Entidad Territorial Certificada;ALEJANDRA OCHOA HENAO;Marco Tulio Marquez Rozo;JAZMIN ANDREA GONZALEZ ARIAS;Oficial;Pública;;;604;Antioquia;5;Envigado;5266;3216391564;3761;50;;;;;;;;;;;;;;;;
Secretaría de Educación de Facatativá;Nit;899999328;Calle 5 No. 11 - 21 Piso 3;MIRELLA SAAVEDRA BERNAL;3142952466;6018423019;inspeccion.vigilancia@sedfacatativa.gov.co;secedufacat@gmail.com;https://www.sedfacatativa.gov.co;Entidad Territorial Certificada;JANNETH PATRICIA RODRÍGUEZ CHABUR;Hector Humberto Hernandez;MIRELLA SAAVEDRA BERNAL;Oficial;Pública;;;601;Cundinamarca;25;Facatativá;25269;3142952466;10850;258;;;;;;;;;;;;;;;;
Secretaría de Educación de Florencia;Nit;800095728;Carrera 12 Calle 15 Esquina, B/Centro, Piso 3, Alcaldía Municipal;FENER DE LOS RIOS BARRERA;3143110170;608436 6494 ext. 1309  ;inspeccionyvigilancia@florencia.edu.co;diegomedinaalvarez@gmail.com;https://florencia.edu.co/portal/v4/;Entidad Territorial Certificada;DIEGO FERNANDO MEDINA ALVAREZ;Loida Ruth Silva Morales;FENER DE LOS RIOS BARRERA;Oficial;Pública;;;608;Caquetá;18;Florencia;18001;3143110170;3776;86;;;;;;;;;;;;;;;;
Secretaría de Educación de Floridablanca;Nit;890205176;Calle 5 No. 8 - 25 Piso 3 - Casco Urbano;DIEGO FERNANDO JAIMES PORRAS;3105792423;6076911050;vigilanciaeducativa@floridablanca.gov.co;costoseducativos@floridablanca.gov.co;https://www.floridablanca.gov.co/secretaria-de-educacion/;Entidad Territorial Certificada;CARLOS ENRIQUE MANTILLA GRANADOS ;Jenifer Jaine Vergara Garces;DIEGO FERNANDO JAIMES PORRAS;Oficial;Pública;;;607;Santander;68;Floridablanca;68276;3105792423;3811;170;;;;;;;;;;;;;;;;
Secretaría de Educación de Funza;Nit;899999433;Calle 15 No. 6 -30 Barrio México;DIEGO FERNANDO ROJAS BOHORQUEZ;3204257079;6018237877;inspeccionyvigilancia@semfunza.gov.co;educacion@funza-cundinamarca.gov.co;https://www.semfunza.gov.co/;Entidad Territorial Certificada;FABIAN PERDOMO MOLINA ;Hector Julio Flechas Pacheco;DIEGO FERNANDO ROJAS BOHORQUEZ;Oficial;Pública;;;601;Cundinamarca;25;Funza;25286;3204257079;10851;271;;;;;;;;;;;;;;;;
Secretaría de Educación de Fusagasugá;Nit;890680008;Calle 5 No. 23 -70 Barrio Mandalay;JUAN CAMILO CELEMÍN MORA;3125849801;6018864476;erreinol@fusagasugacundinamarca.gov.co;edwinreino@yahoo.es;https://educacion.alcaldiafusagasuga.gov.co/;Entidad Territorial Certificada;EDWIN RAMÓN REINO LÓPEZ;Hector Humberto Hernandez;JUAN CAMILO CELEMÍN MORA;Oficial;Pública;;;601;Cundinamarca;25;Fusagasugá;25290;3125849801;3786;112;;;;;;;;;;;;;;;;
Secretaría de Educación de Girardot;Nit;890680378;Calle 16 Carrera 8   Esquina ;EDGAR EXCELINO MAYORGA ESPINOSA;3176595289;6018393510;vigilanciasem@girardot-cundinamarca.gov.co;naviroxxs@gmail.com;https://www.semgirardot.gov.co/;Entidad Territorial Certificada;NATALIA VILLARRAGA RODRÍGUEZ ;Hector Humberto Hernandez;EDGAR EXCELINO MAYORGA ESPINOSA;Oficial;Pública;;;601;Cundinamarca;25;Girardot;25307;3176595289;3787;114;;;;;;;;;;;;;;;;
Secretaría de Educación de Girón;Nit;890204802;Calle 30 No. 26-24 Centro;ADELA SILVA ARDILA;3164975999;6076463030;ca.avillamizar.giron@santander.edu.co;ca.avillamizar.giron@santander.edu.co;https://www.semgiron.gov.co/;Entidad Territorial Certificada;ANA LUCY VILLAMIZAR JAIMES;Hector Julio Flechas Pacheco;ADELA SILVA ARDILA;Oficial;Pública;;;607;Santander;68;Girón;68307;3164975999;3812;172;;;;;;;;;;;;;;;;
Secretaría de Educación de Guadalajara de Buga;Nit;891380033;Calle 6 No 16-64;RAUL SALCEDO CARDONA ;315 4159245;6022361638;inspeccionyvigilancia@sembugavalle.gov.co;jgallegofr1@gmail.com;https://www.guadalajaradebuga-valle.gov.co;Entidad Territorial Certificada;JOSÉ MAGIN SALCEDO AZCARATE;Hector Julio Flechas Pacheco;RAUL SALCEDO CARDONA ;Oficial;Pública;;;602;Valle del Cauca;76;Guadalajara de Buga;76111;315 4159245;3820;186;;;;;;;;;;;;;;;;
Secretaría de Educación de Guainía;Nit;892099149;Calle 16 No. 8 - 35  Edificio Gobernación;YULLY LEANDRA CARDENAS QUINTERO;3103686709;6085656251;Inspeccionyvigilancia@sedguainia.gov.co;inspeccionvigilanciasedguainia@gmail.com;https://www.guainia.gov.co;Entidad Territorial Certificada;LAURA CECILIA ÁVILA GIL ;Hector Humberto Hernandez;YULLY LEANDRA CARDENAS QUINTERO;Oficial;Pública;;;608;Guainía;94;Inírida;94001;3103686709;3829;120;;;;;;;;;;;;;;;;
Secretaría de Educación de Guaviare;Nit;800103196;Calle 8 No. 24 - 115;CESAR ALONSO QUEVEDO HERRERA;3212149877;6085840536;monicaro@sedguaviare.gov.co;monicaro5@yahoo.es;https://www.sedguaviare.gov.co;Entidad Territorial Certificada;MONICA RINCON OSPINA;Hector Humberto Hernandez;CESAR ALONSO QUEVEDO HERRERA;Oficial;Pública;;;608;Guaviare;95;San José del Guaviare;95001;3212149877;3830;122;;;;;;;;;;;;;;;;
Secretaría de Educación de Huila;Nit;800103913;EEdificio Gobernación Calle 8 Carrera 4 Esquina;EDGAR MARTIN LARA;3143665026;6088671300;agomez@sedhuila.gov.co;goquinal@gmail.com;https://www.huila.gov.co/educacion/;Entidad Territorial Certificada;ALVARO GOMEZ QUINTERO;Loida Ruth Silva Morales;EDGAR MARTIN LARA;Oficial;Pública;;;608;Huila;41;Neiva;41001;3143665026;3790;126;;;;;;;;;;;;;;;;
Secretaría de Educación de Ibagué;Nit;800113389;Carrera 2 Calle 17 Esquina Piso 2 Antiguo Edificio Cafetero;MARÍA ISABEL PEÑA GARZÓN;3133971704;6082611182;denise.lopez@ibague.gov.co;inspección.vigilanancia@ibague.gov.co;https://www.semibague.gov.co;Entidad Territorial Certificada;DENISE LÓPEZ ORTIZ ;Hector Julio Flechas Pacheco;MARÍA ISABEL PEÑA GARZÓN;Oficial;Pública;;;608;Tolima;73;Ibagué;73001;3133971704;3816;180;;;;;;;;;;;;;;;;
Secretaría de Educación de Ipiales;Nit;800099095;CCarrera 7 con Calle 7 Edificio Juan Pablo II;OLGA NATALI CHAMORRO PÉREZ;3164204296;6027733631;inspeccionyvigilancia@semipiales.gov.co;Calidad@semipiales.gov.co;https://www.semipiales.gov.co;Entidad Territorial Certificada;WHILMER ORLANDO BENAVIDES SÁNCHEZ;Loida Ruth Silva Morales;OLGA NATALI CHAMORRO PÉREZ;Oficial;Pública;;;602;Nariño;52;Ipiales;52356;3164204296;4546;263;;;;;;;;;;;;;;;;
Secretaría de Educación de Itagüí;Nit;890980093;Carrera 49 N° 50A-20 Tercer piso C.C. La Gran Manzana;GUILLERMO LEÓN RESTREPO OCHOA;3104274570;6043737676 ext. 1800;elkin.londono@itagui.edu.co ;elkinlondono92@hotmail.com ;https://www.semitagui.gov.co;Entidad Territorial Certificada;ELKIN ALONSO LONDOÑO COLORADO ;Marco Tulio Marquez Rozo;GUILLERMO LEÓN RESTREPO OCHOA;Oficial;Pública;;;604;Antioquia;5;Itagui;5360;3104274570;3762;52;;;;;;;;;;;;;;;;
Secretaría de Educación de Jamundí;Nit;890399046;Calle 10 Cra 10 Esquina. Barrio Juan de Ampudia Piso 3;ALEXANDER MORALES LORA;3103829104;"6025190969
ext 1080";inspeccionyvigilancia.educacion@jamundi.gov.co;ana.caicedo.ivcj@gmail.com;https://www.jamundi-valle.gov.co/educacion_cultura;Entidad Territorial Certificada;ANA MARÍA  CAICEDO AVELLANEDA ;Jenifer Jaine Vergara Garces;ALEXANDER MORALES LORA;Oficial;Pública;;;602;Valle del Cauca;76;Jamundí;76364;3103829104;4815;260;;;;;;;;;;;;;;;;
Secretaría de Educación de La Estrella;Nit;890980782;Calle 80 sur No. 58 78 Centro Administrativo Jorge Eliecer Echavarría Henao;EDNA MABEL ALZATE CEBALLOS ;3103845705;6046050707 Ext: 4215;inspeccionyvigilancia@laestrella.gov.co;edisonjaramilloe@gmail.com;https://www.laestrella.gov.co/alcaldia/dependencia/14;Entidad Territorial Certificada;EDISON ALBERTO JARAMILLO ECHEVERRI ;Hector Humberto Hernandez;EDNA MABEL ALZATE CEBALLOS ;Oficial;Pública;;;604;Antioquia;5;La Estrella;5380;3103845705;7738;272;;;;;;;;;;;;;;;;
Secretaría de Educación de La Guajira;Nit;892115015;Carrera 10 No. 14 A -05;CARLOS ELIAS ZARATE PEREZ;3017070074;6057274347;Liderplaneacion@laguajira.gov.co;amendozaro@outlook.com;https://www.sed-laguajira.gov.co;Entidad Territorial Certificada;ÁNGEL JOSE MENDOZA RODRÍGUEZ ;Jenifer Jaine Vergara Garces;CARLOS ELIAS ZARATE PEREZ;Oficial;Pública;;;605;La Guajira;44;Riohacha;44001;3017070074;3792;130;;;;;;;;;;;;;;;;
Secretaría de Educación de Lorica;Nit;800096758;Calle 25 Nº 4-A-03 Barrio Cascajal Piso 2  ;SANDI PAOLA YANES GUZMAN ;3012796065;6047538002;carlos.hernandez@semlorica.gov.co;charlis1979@hotmail.com;https://www.semlorica.gov.co/;Entidad Territorial Certificada;CARLOS ANDRÉS HERNÁNDEZ HERNÁNDEZ ;Hector Humberto Hernandez;SANDI PAOLA YANES GUZMAN ;Oficial;Pública;;;604;Córdoba;23;Lorica;23417;3012796065;3783;104;;;;;;;;;;;;;;;;
